1. 3️⃣0️⃣💯👋💯 Астрахань и Астраханская обл ДОСКА ОБЪЯВЛЕНИЙ | chat_id=-70751287659208 | type=chat | participants=3463 | link=https://max.ru/join/rAc7D7_Jz1CUXQt49FqUWGBS-iZZcLZGqGUpFpBpk8A
2. Астраханские Новости 18+ | chat_id=-68130657829102 | type=chat | participants=1599 | link=https://max.ru/join/D7sCTKrdIBcuvwbSTnWont7H-LsIQ7pRi68wLHRFpxo
3. 🚨Трусово, купи, продай.🚨 Астрахани и АО🚨 | chat_id=-68183554954616 | type=chat | participants=579 | link=https://max.ru/join/OXs5FxyFAqb8S7zdsopzRi43te_6c5AJ3rkDsZO2Aps
4. 🚗 Автозвук_30_Автомир | chat_id=-69295205509703 | type=chat | participants=377 | link=https://max.ru/join/ORmzv_NX75Gcf84xY428r8bNc4Vejg78j-jcy3JQj8E
5. 🤩Все ссылки/реклама Астрахани/АО | chat_id=-69463512866976 | type=chat | participants=346 | link=https://max.ru/join/xQJN7bh4fbfzgLYqJRmqg2YY5rGzdX9yQTVz3iyFiDA
6. Астраханский край !!!!Обьяления и личные продажи!!!! | chat_id=-69414134718477 | type=chat | participants=316 | link=https://max.ru/join/zMiAIxolLKEpYsBAhtxELatC23_W5c5dxG3FbjYaPLU
7. Все Услуги Астрахань | chat_id=-68782663188571 | type=chat | participants=307 | link=https://max.ru/join/s4-q0a-qDOo486pRokrjxCEXYi5lK0A1WqltUx7mErY
8. Мамочки👣АСТРАХАНИ | chat_id=-70001839407342 | type=chat | participants=290 | link=https://max.ru/join/UzZ5qejFJe1zH_YXoAQUcdc9nS3Jfn9zvC3k7dlhguQ
9. ПОДСЛУШАНО АСТРАХАНЬ | chat_id=-69452032679949 | type=chat | participants=283 | link=https://max.ru/join/vj1178idAdayeNyLA5C6OYCkcuHNG1mHHWnEm6aO0mM
10. БОЛЬШАЯ ДОСКА  ОБЬЯВЛЕНИЙ АСТРАХАНЬ | chat_id=-69210880319501 | type=chat | participants=234 | link=https://max.ru/join/uxSbWNyW0BYDUStr-RHId6pmq87XHA3O2eOrZ5su-TQ
11. АСТРАХАНСКАЯ ВОЛНА ОБЬЯВЛЕНИЙ И НОВОСТЕЙ!!! | chat_id=-69920749035533 | type=chat | participants=231 | link=https://max.ru/join/LkzDsQWurNA2cbzGl4iP10Ytl_IW9GeunUw5p4J4FiA
12. КИРОВСКИЙ РАЙОН!!!БЕСПЛАТНЫЕ ОБЬЯВЛЕНИЯ!!!!.АСТРАХАНЬ | chat_id=-70157560422413 | type=chat | participants=184 | link=https://max.ru/join/zcxNnovVx22nT5QFoXxid8ulQhf16tf-jhfRkL8WJX8
13. 🚨КУПИ🚨ПРОДАЙ🚨ОБМЕН 🚨 Астрахани бот | chat_id=-69346271073653 | type=chat | participants=156 | link=https://max.ru/join/31AIWzLbLes8LmgVkmThcOTWHcoBQvrnn5gaWY6cbIg
14. 🛒БАРАХОЛКА АСТРАХАНЬ 🛒 | chat_id=-71106825052320 | type=chat | participants=155 | link=https://max.ru/join/u_OQtLyDLwT1weNS7p7rKllQzbP2o1jQZ28C-hvsZ80
15. АВИТО АСТРАХАНЬ РЕКЛАМА | chat_id=-69302143590413 | type=chat | participants=144 | link=https://max.ru/join/Nc3FTqd0s_800uDdyv1I5VdocYuYOeTLeqESQeIejIo
16. Реклама Астрахань | chat_id=-71517620426065 | type=chat | participants=142 | link=https://max.ru/join/8xl-cZxjS6CfsaagOyFlJpo0bbcFPZC0S9cYtZtOroQ
17. РОЗ Тортов и Десертов  Астрахань | chat_id=-70499165686472 | type=chat | participants=136 | link=https://max.ru/join/gJohl7q5UPDRqj7tVucVgcDz5j-4p3LYoe5pdiH7lDY
18. 🚨РАБОТЯГИ 🚨Астрахань и АО🚨 | chat_id=-69389702960501 | type=chat | participants=111 | link=https://max.ru/join/o8gjIF6wu5PQ7gADDbAMFHLRsJsrfJwZTehyh9OO_sA
19. 🚨 ОБЪЯВЛЕНИЯ 3 интернационала🚨 Астрахани и АО🚨 | chat_id=-70355447747960 | type=chat | participants=82 | link=https://max.ru/join/x8qbmBFQMsX-7FBAki1NM9pDUKRWhhHwjLRcY_aJlsk
20. Объявления Астрахань | chat_id=-71904282595911 | type=chat | participants=66 | link=https://max.ru/join/iQqNgTChj-MVkJvMy5SKakXSpUicjdgaWkAuOP8ezmM
21. 🚨ЮЛА🚨Объявления🚨Астрахани и АО🚨 | chat_id=-70322319758712 | type=chat | participants=61 | link=https://max.ru/join/k1nAzTvto6aUpI90mZT9A5IQOkVj_TOsMxlD93T8VX0
22. 🚨ПРОДАЖИ в Астрахани🚨бот | chat_id=-69517391336824 | type=chat | participants=45 | link=https://max.ru/join/ugjxNQroUnzn-rD-8k8Yy9B7CNtDcWty6F3n_g8MSjo
23. Астрахань Объявления | Новости | chat_id=-72094430562311 | type=chat | participants=9 | link=https://max.ru/join/D8r24NwuRDUfSooMCSBaH_IT0kli5v0ALJBlW_Y0_C0
