batch	start	count	from	to	exit_code	result_file	missing_file	log_file
batch001	0	400	1	400	0	data/invite_yakutsk_target_20260318_012434/batch001_1_400_result.json	data/invite_yakutsk_target_20260318_012434/batch001_1_400_missing.txt	data/invite_yakutsk_target_20260318_012434/batch001_1_400.log
batch002	400	400	401	800	1	data/invite_yakutsk_target_20260318_012434/batch002_401_800_result.json	data/invite_yakutsk_target_20260318_012434/batch002_401_800_missing.txt	data/invite_yakutsk_target_20260318_012434/batch002_401_800.log
batch003	800	400	801	1200	0	data/invite_yakutsk_target_20260318_012434/batch003_801_1200_result.json	data/invite_yakutsk_target_20260318_012434/batch003_801_1200_missing.txt	data/invite_yakutsk_target_20260318_012434/batch003_801_1200.log
batch004	1200	400	1201	1600	0	data/invite_yakutsk_target_20260318_012434/batch004_1201_1600_result.json	data/invite_yakutsk_target_20260318_012434/batch004_1201_1600_missing.txt	data/invite_yakutsk_target_20260318_012434/batch004_1201_1600.log
batch005	1600	400	1601	2000	0	data/invite_yakutsk_target_20260318_012434/batch005_1601_2000_result.json	data/invite_yakutsk_target_20260318_012434/batch005_1601_2000_missing.txt	data/invite_yakutsk_target_20260318_012434/batch005_1601_2000.log
batch006	2000	400	2001	2400	0	data/invite_yakutsk_target_20260318_012434/batch006_2001_2400_result.json	data/invite_yakutsk_target_20260318_012434/batch006_2001_2400_missing.txt	data/invite_yakutsk_target_20260318_012434/batch006_2001_2400.log
batch007	2400	400	2401	2800	0	data/invite_yakutsk_target_20260318_012434/batch007_2401_2800_result.json	data/invite_yakutsk_target_20260318_012434/batch007_2401_2800_missing.txt	data/invite_yakutsk_target_20260318_012434/batch007_2401_2800.log
batch008	2800	400	2801	3200	0	data/invite_yakutsk_target_20260318_012434/batch008_2801_3200_result.json	data/invite_yakutsk_target_20260318_012434/batch008_2801_3200_missing.txt	data/invite_yakutsk_target_20260318_012434/batch008_2801_3200.log
batch009	3200	400	3201	3600	0	data/invite_yakutsk_target_20260318_012434/batch009_3201_3600_result.json	data/invite_yakutsk_target_20260318_012434/batch009_3201_3600_missing.txt	data/invite_yakutsk_target_20260318_012434/batch009_3201_3600.log
batch010	3600	400	3601	4000	0	data/invite_yakutsk_target_20260318_012434/batch010_3601_4000_result.json	data/invite_yakutsk_target_20260318_012434/batch010_3601_4000_missing.txt	data/invite_yakutsk_target_20260318_012434/batch010_3601_4000.log
batch011	4000	400	4001	4400	0	data/invite_yakutsk_target_20260318_012434/batch011_4001_4400_result.json	data/invite_yakutsk_target_20260318_012434/batch011_4001_4400_missing.txt	data/invite_yakutsk_target_20260318_012434/batch011_4001_4400.log
batch012	4400	400	4401	4800	0	data/invite_yakutsk_target_20260318_012434/batch012_4401_4800_result.json	data/invite_yakutsk_target_20260318_012434/batch012_4401_4800_missing.txt	data/invite_yakutsk_target_20260318_012434/batch012_4401_4800.log
batch013	4800	400	4801	5200	0	data/invite_yakutsk_target_20260318_012434/batch013_4801_5200_result.json	data/invite_yakutsk_target_20260318_012434/batch013_4801_5200_missing.txt	data/invite_yakutsk_target_20260318_012434/batch013_4801_5200.log
batch014	5200	400	5201	5600	1	data/invite_yakutsk_target_20260318_012434/batch014_5201_5600_result.json	data/invite_yakutsk_target_20260318_012434/batch014_5201_5600_missing.txt	data/invite_yakutsk_target_20260318_012434/batch014_5201_5600.log
batch015	5600	400	5601	6000	0	data/invite_yakutsk_target_20260318_012434/batch015_5601_6000_result.json	data/invite_yakutsk_target_20260318_012434/batch015_5601_6000_missing.txt	data/invite_yakutsk_target_20260318_012434/batch015_5601_6000.log
batch016	6000	400	6001	6400	0	data/invite_yakutsk_target_20260318_012434/batch016_6001_6400_result.json	data/invite_yakutsk_target_20260318_012434/batch016_6001_6400_missing.txt	data/invite_yakutsk_target_20260318_012434/batch016_6001_6400.log
batch017	6400	400	6401	6800	0	data/invite_yakutsk_target_20260318_012434/batch017_6401_6800_result.json	data/invite_yakutsk_target_20260318_012434/batch017_6401_6800_missing.txt	data/invite_yakutsk_target_20260318_012434/batch017_6401_6800.log
batch018	6800	263	6801	7063	0	data/invite_yakutsk_target_20260318_012434/batch018_6801_7063_result.json	data/invite_yakutsk_target_20260318_012434/batch018_6801_7063_missing.txt	data/invite_yakutsk_target_20260318_012434/batch018_6801_7063.log
